,index,variable,value,Streams
0,0,Track Name - 분할 1,Seven,141381703.0
2,0,Track Name - 분할 2,(feat.,141381703.0
3,0,Track Name - 분할 3,Latto),141381703.0
4,0,Track Name - 분할 4,(Explicit,141381703.0
5,0,Track Name - 분할 5,Ver.),141381703.0
10,1,Track Name - 분할 1,LALA,133716286.0
20,2,Track Name - 분할 1,vampire,140003974.0
30,3,Track Name - 분할 1,Cruel,800840817.0
32,3,Track Name - 분할 2,Summer,800840817.0
40,4,Track Name - 분할 1,WHERE,303236322.0
42,4,Track Name - 분할 2,SHE,303236322.0
43,4,Track Name - 분할 3,GOES,303236322.0
50,5,Track Name - 분할 1,Sprinter,183706234.0
60,6,Track Name - 분할 1,Ella,725980112.0
62,6,Track Name - 분할 2,Baila,725980112.0
63,6,Track Name - 분할 3,Sola,725980112.0
70,7,Track Name - 분할 1,Columbia,58149378.0
80,8,Track Name - 분할 1,fukumean,95217315.0
90,9,Track Name - 분할 1,La,553634067.0
92,9,Track Name - 분할 2,Bebe,553634067.0
93,9,Track Name - 분할 3,-,553634067.0
94,9,Track Name - 분할 4,Remix,553634067.0
100,10,Track Name - 분할 1,un,505671438.0
102,10,Track Name - 분할 2,x100to,505671438.0
110,11,Track Name - 분할 1,Super,58255150.0
112,11,Track Name - 분할 2,Shy,58255150.0
120,12,Track Name - 분할 1,Flowers,1316855716.0
130,13,Track Name - 분할 1,Daylight,387570742.0
140,14,Track Name - 분할 1,As,2513188493.0
142,14,Track Name - 분할 2,It,2513188493.0
143,14,Track Name - 분할 3,Was,2513188493.0
150,15,Track Name - 분할 1,Kill,1163093654.0
152,15,Track Name - 분할 2,Bill,1163093654.0
160,16,Track Name - 분할 1,Cupid,496795686.0
162,16,Track Name - 분할 2,-,496795686.0
163,16,Track Name - 분할 3,Twin,496795686.0
164,16,Track Name - 분할 4,Ver.,496795686.0
170,17,Track Name - 분할 1,What,30546883.0
171,17,Track Name - 분할 10,"""Barbie""]",30546883.0
172,17,Track Name - 분할 2,Was,30546883.0
173,17,Track Name - 분할 3,I,30546883.0
174,17,Track Name - 분할 4,Made,30546883.0
175,17,Track Name - 분할 5,For?,30546883.0
176,17,Track Name - 분할 6,[From,30546883.0
177,17,Track Name - 분할 7,The,30546883.0
178,17,Track Name - 분할 8,Motion,30546883.0
179,17,Track Name - 분할 9,Picture,30546883.0
180,18,Track Name - 분할 1,Classy,335222234.0
182,18,Track Name - 분할 2,101,335222234.0
190,19,Track Name - 분할 1,Like,363369738.0
192,19,Track Name - 분할 2,Crazy,363369738.0
200,20,Track Name - 분할 1,LADY,86444842.0
202,20,Track Name - 분할 2,GAGA,86444842.0
210,21,Track Name - 분할 1,I,52135248.0
212,21,Track Name - 분할 2,Can,52135248.0
213,21,Track Name - 분할 3,See,52135248.0
214,21,Track Name - 분할 4,You,52135248.0
215,21,Track Name - 분할 5,(Taylorï¿½ï¿½ï¿½s,52135248.0
216,21,Track Name - 분할 6,Version),52135248.0
217,21,Track Name - 분할 7,(From,52135248.0
218,21,Track Name - 분할 8,The,52135248.0
220,22,Track Name - 분할 1,I,1297026226.0
222,22,Track Name - 분할 2,Wanna,1297026226.0
223,22,Track Name - 분할 3,Be,1297026226.0
224,22,Track Name - 분할 4,Yours,1297026226.0
230,23,Track Name - 분할 1,Peso,200647221.0
232,23,Track Name - 분할 2,Pluma:,200647221.0
233,23,Track Name - 분할 3,Bzrp,200647221.0
234,23,Track Name - 분할 4,Music,200647221.0
235,23,Track Name - 분할 5,"Sessions,",200647221.0
236,23,Track Name - 분할 6,Vol.,200647221.0
237,23,Track Name - 분할 7,55,200647221.0
240,24,Track Name - 분할 1,Popular,115364561.0
241,24,Track Name - 분할 10,Vol.,115364561.0
242,24,Track Name - 분할 2,(with,115364561.0
243,24,Track Name - 분할 3,Playboi,115364561.0
244,24,Track Name - 분할 4,Carti,115364561.0
245,24,Track Name - 분할 5,&,115364561.0
246,24,Track Name - 분할 6,Madonna),115364561.0
247,24,Track Name - 분할 7,-,115364561.0
248,24,Track Name - 분할 8,The,115364561.0
249,24,Track Name - 분할 9,Idol,115364561.0
250,25,Track Name - 분할 1,SABOR,78300654.0
252,25,Track Name - 분할 2,FRESA,78300654.0
260,26,Track Name - 분할 1,Calm,899183384.0
262,26,Track Name - 분할 2,Down,899183384.0
263,26,Track Name - 분할 3,(with,899183384.0
264,26,Track Name - 분할 4,Selena,899183384.0
265,26,Track Name - 분할 5,Gomez),899183384.0
270,27,Track Name - 분할 1,MOJABI,61245289.0
272,27,Track Name - 분할 2,GHOST,61245289.0
280,28,Track Name - 분할 1,Last,429829812.0
282,28,Track Name - 분할 2,Night,429829812.0
290,29,Track Name - 분할 1,Dance,127408954.0
292,29,Track Name - 분할 2,The,127408954.0
293,29,Track Name - 분할 3,Night,127408954.0
294,29,Track Name - 분할 4,(From,127408954.0
295,29,Track Name - 분할 5,Barbie,127408954.0
296,29,Track Name - 분할 6,The,127408954.0
297,29,Track Name - 분할 7,Album),127408954.0
300,30,Track Name - 분할 1,Rush,22581161.0
310,31,Track Name - 분할 1,TULUM,52294266.0
320,32,Track Name - 분할 1,Creepin',843957510.0
330,33,Track Name - 분할 1,Anti-Hero,999748277.0
340,34,Track Name - 분할 1,TQG,618990393.0
350,35,Track Name - 분할 1,Los,123122413.0
352,35,Track Name - 분할 2,del,123122413.0
353,35,Track Name - 분할 3,Espacio,123122413.0
360,36,Track Name - 분할 1,Frï¿½ï¿½gil,188933502.0
362,36,Track Name - 분할 2,(feat.,188933502.0
363,36,Track Name - 분할 3,Grupo,188933502.0
364,36,Track Name - 분할 4,Front,188933502.0
370,37,Track Name - 분할 1,Blank,1355959075.0
372,37,Track Name - 분할 2,Space,1355959075.0
380,38,Track Name - 분할 1,Style,786181836.0
390,39,Track Name - 분할 1,TQM,176553476.0
400,40,Track Name - 분할 1,El,354495408.0
402,40,Track Name - 분할 2,Azul,354495408.0
410,41,Track Name - 분할 1,Sunflower,2808096550.0
412,41,Track Name - 분할 2,-,2808096550.0
413,41,Track Name - 분할 3,Spider-Man:,2808096550.0
414,41,Track Name - 분할 4,Into,2808096550.0
415,41,Track Name - 분할 5,the,2808096550.0
416,41,Track Name - 분할 6,Spider-Verse,2808096550.0
420,42,Track Name - 분할 1,I'm,1109433169.0
422,42,Track Name - 분할 2,Good,1109433169.0
423,42,Track Name - 분할 3,(Blue),1109433169.0
430,43,Track Name - 분할 1,See,1047101291.0
432,43,Track Name - 분할 2,You,1047101291.0
433,43,Track Name - 분할 3,Again,1047101291.0
440,44,Track Name - 분할 1,Barbie,65156199.0
442,44,Track Name - 분할 2,World,65156199.0
443,44,Track Name - 분할 3,(with,65156199.0
444,44,Track Name - 분할 4,Aqua),65156199.0
445,44,Track Name - 분할 5,[From,65156199.0
446,44,Track Name - 분할 6,Barbie,65156199.0
447,44,Track Name - 분할 7,The,65156199.0
448,44,Track Name - 분할 8,Album],65156199.0
450,45,Track Name - 분할 1,Angels,570515054.0
452,45,Track Name - 분할 2,Like,570515054.0
453,45,Track Name - 분할 3,You,570515054.0
460,46,Track Name - 분할 1,I,1085685420.0
462,46,Track Name - 분할 2,Ain't,1085685420.0
463,46,Track Name - 분할 3,Worried,1085685420.0
470,47,Track Name - 분할 1,Die,1647990401.0
472,47,Track Name - 분할 2,For,1647990401.0
