rating,user,category,age,date,review,review_category
5,yjo****,가족여행으로 좋아요,50대,2024.02.21,알찬구성으로 재밌고볼거리다양해요 너무타이트하지도않고 지루하지않게 잠깐잠깐의휴식이나자유시간이있어서 다리아픈친정엄마도 무난하게 같이즐길수있어서 좋았던여행이였습니다 박창순가이드님 배려심좋으시고툭툭내뱉는말에 가식없구 진정성이느껴졌어요 고생많으셨어요,"호텔이 관광지와 가까워요
객실 뷰가 좋아요
객실이 깨끗해요
일정이 알차요
식당 뷰가 좋아요"
4,dhl***,가족여행으로 좋아요,40대,2024.02.19,어르신 모시고 여행하기 좋습니다. 워낙 관광객이 많은 곳이라 아침 일찍부터 저녁 늦게까지 계속 움직이더라구요. 쇼핑 3회가 2회로 줄면 더 좋지 않을까 생각만 해봅니다. 좋은 추억 남아갑니다.,"일정이 알차요
현지 음식이 맛있어요
호텔이 관광지와 가까워요
가격만큼 가치 있어요"
4,아자,친구모임으로 좋아요,50대,2024.02.15,딸과 둘이 떠난 여행이라 더 뜻 깊었던 여행이었고 같이 여행한 팀원들도 모두 괜찮은분들이라 대체적으로 만족스러운 여행 이였습니다. 바나힐에서 날씨가 흐려서 좀 아쉬웠지만 덥지 않고 햇살도 따갑지 않아서 참 좋았습니다~ 음식이 패키지라 그런지 좀 아쉬웠다는 점 빼고는 만족스러운 여행이였습니다~,"호텔이 관광지와 가까워요
일정이 여유로워요
현지 음식이 맛있어요
즐길 거리가 다양해요
가격이 합리적이에요"
5,qow*******,커플여행으로 좋아요,20대,2024.02.12,와이프와 결혼해서 처음가는 해외여행 기대반 설레임 반으로 하나투어 강혜원가이드님을 만나서 너무 일정을 알차게 또 볼거리 즐길거리 먹을거리 행복한 여행으로 추억을 만들었구요 또한 함께 일정을 즐겼던 여행자분들도 너무 재미나고 좋으신 분들을 뵈어 정말 인생에서 처음이자 마지막인것같은 시간을 보냈어요 너무나 행복했었고 다음에도 같은 사람들과 같은 가이드분을 만난다면 언제든지 함께 여행하고싶네요,"일정이 알차요
가이드가 전문적이에요
가이드가 열정적이에요
가이드가 배려 깊고 세심해요
가이드가 재밌어요"
4,ban******,가족여행으로 좋아요,40대,2024.02.12,즐거운 여행이었어요~,"호텔이 관광지와 가까워요
일정이 여유로워요
현지 음식이 다양해요
가이드가 전문적이에요"
5,piz*******,친구모임으로 좋아요,40대,2024.02.02,"가이드님 친절, 현지 대동하는 가이드님도 대박 친절. 적절한 옵션 진행은 좋았고, 크게 강요없었고. 쇼핑은 몰아가서 좀 그랬으나 패키지 구성 생리상 어쩔 수 없기에 이해함. 왕창 사주신 일행분들께 감사드릴뿐 ❣️ 아오자이쇼도 좋았고, 날씨 안좋아 못간곳 있어서 아쉽","객실이 깨끗해요
호텔이 시내에 있어요
현지 음식이 맛있어요
가이드가 전문적이에요"
5,css****,친구모임으로 좋아요,50대,2024.01.30,굿입니다 정말 좋아요 만족합니다 좋아요 부탁드립니다 여러분들의 의견을 수렴하고 불만을 처리하기 위해 모든걸 내려놓고 오직 한 가지 더 많이 받으세요 아미 여러분들이 웃으면 나도 모르는 사이에 인기 많은 관심 부탁드립니다 여러분들의 의견을 수렴하고 있으며 이를 통해 다양한 종류의 사람들이 있다 하더라도 다른 사람의 마음을,"객실이 깨끗해요
일정이 알차요
현지 음식이 맛있어요
가이드가 재밌어요
가격만큼 가치 있어요"
5,min*******,가족여행으로 좋아요,10대,2024.01.29,✈️2022.08.10(수) ~ 2022.08.14(일)✈️ With. 박홍교 가이드님 1년이 지나 이제서야 올립니다..😭 호텔: 5/5 큰 호텔은 아니었지만 있을 건 다 있는데 호텔이었습니다. 호텔 직원분들도 친절하시고 조식도 맛있었습니다. 일정: 5/5 제가 다녀본 여행 중 가장 알찬 여행이었습니다. 한국가서 이틀은 뻗을 정도로 많은 곳을 관광했습니다. 밑에 나오겠지만 정말 이 일정에 가격이 말도 안되게 가성비 있는 여행이었습니다. 식사: 5/5 쌀국수가 정말 맛있었습니다. 쌀국수 말고도 베트남 음식들이 전체적으로 한국...,"호텔에서 쉬기 좋아요
일정이 알차요
현지 음식이 다양해요
가격이 합리적이에요
가이드가 재밌어요"
5,pp2*****,친구모임으로 좋아요,40대,2024.01.26,아빠 칠순기념으로 가족여행 다녀왔어요. 가기전에는 좀 걱정했는데 가이드님이 워낙 잘 안내해주셔서 즐거운 여행이었습니다. 일정과 코스에 맞게 전해주시는 가이드님의 이야기가 참 유익했습니다. 특히 저는 호이안은 다시 또 가보고 싶네요. 선택관광에서 차밍다낭쇼는 생각보다 재미가 없더라고요. 비추에요. 다 좋은데 쇼핑3번은 좀 별로였어요. 강요같은 건 전혀 없었지만 시간적으로 좀 아깝다는 생각이 들더라구요. 2번으로 줄여도 좋을 것 같습니다. 전체적으로 만족한 여행이었어요. 다음엔 친한 친구나 혼자 가도 좋을 것 같다는 생각이 들...,"객실이 깨끗해요
객실 뷰가 좋아요
일정이 알차요
현지 음식이 맛있어요
가이드가 전문적이에요"
4,yoo*******,가족여행으로 좋아요,50대,2024.01.10,날씨가 너무 좋아서 여행하기가 굿이었네요. 가이드분두 전일정 여행 동반자들과의 원활한 관계(식당 장소배치등) 유지를 우수히 수행하구 늘 친절하였구요.. 경기도 다낭시 라더니 넘 편하구 힐링되는 여행 이었습니다. 다시 하나투어와 해외 여행 가구 싶네요.,"객실이 깨끗해요
호텔이 관광지와 가까워요
호텔이 시내에 있어요
객실 뷰가 좋아요
현지 음식이 맛있어요"
