,word,freq,stream
0,seven,1,141381703.0
1,feat,61,379203434.6557377
2,latto,1,141381703.0
3,explicit,2,360388422.5
4,ver,3,520785141.0701754
5,lala,1,133716286.0
6,vampire,1,140003974.0
7,cruel,1,800840817.0
8,summer,2,688024201.5
9,goes,4,287551474.3333333
10,sprinter,1,183706234.0
11,ella,2,429937862.0
12,baila,1,725980112.0
13,sola,1,474781339.0
14,columbia,1,58149378.0
15,fukumean,1,95217315.0
16,la,20,376215567.55128205
17,bebe,3,370965310.6666667
18,remix,17,461274484.0588235
19,x100to,1,505671438.0
20,super,5,272123154.7777778
21,shy,2,312604948.0
22,flowers,2,750841072.5
23,daylight,2,339201973.0
24,kill,1,1163093654.0
25,cupid,3,239478277.75
26,twin,2,300279102.0
27,motion,2,239523857.5
28,picture,2,239523857.5
29,barbie,4,74370678.66666667
30,classy,1,335222234.0
31,101,1,335222234.0
32,like,14,591040901.5714285
33,crazy,3,274578856.0
34,lady,2,70216123.0
35,gaga,1,86444842.0
36,taylorï,3,178229579.33333334
37,½ï,69,271330153.877551
38,½s,5,223874270.8
39,version,16,372505882.53333336
40,wanna,5,947361009.4
41,peso,1,200647221.0
42,pluma,1,200647221.0
43,bzrp,9,369775896.6666667
44,music,13,338366845.84615386
45,sessions,9,369775896.6666667
46,vol,10,395714998.85714287
47,55,1,412581339.0
48,popular,1,115364561.0
49,playboi,1,115364561.0
50,carti,1,115364561.0
51,madonna,1,115364561.0
52,idol,1,115364561.0
53,hbo,3,221160857.33333334
54,original,5,338275709.2
55,series,5,622088974.0
56,sabor,1,78300654.0
57,fresa,1,78300654.0
58,calm,2,672473504.0
59,selena,1,899183384.0
60,gomez,1,899183384.0
61,mojabi,1,61245289.0
62,ghost,3,446216425.3333333
63,night,6,765565254.1111112
64,dance,5,1149529335.3333333
65,album,2,96282576.5
66,rush,2,65111985.0
67,tulum,1,52294266.0
68,creepin,1,843957510.0
69,anti,1,525793558.125
70,hero,1,700392295.5
71,tqg,1,618990393.0
72,los,1,855777530.125
73,del,6,523991747.90909094
74,espacio,1,123122413.0
75,frï,1,188933502.0
76,½gil,1,188933502.0
77,grupo,1,188933502.0
78,blank,1,1355959075.0
79,space,3,733465182.0
80,style,1,786181836.0
81,tqm,1,176553476.0
82,el,10,522837034.0
83,azul,1,354495408.0
84,sunflower,1,2808096550.0
85,spider,14,452731045.14285713
86,man,10,472623848.17391306
87,verse,7,600872596.4285715
88,good,5,730728307.5
89,blue,1,739750904.0
90,world,3,397742567.8
91,aqua,1,65156199.0
92,angels,1,570515054.0
93,ain,2,520934653.1666667
94,worried,1,1085685420.0
95,die,6,418437060.625
96,starboy,1,2565529693.0
97,cielo,2,220450162.5
98,baby,8,542821424.2222222
99,don,11,369554890.5625
100,hurt,2,383347961.5
101,amargura,1,153372011.0
102,nanana,1,57876440.0
103,edit,7,620602396.625
104,love,24,644609949.2666667
105,blinding,1,3703895074.0
106,lights,1,3703895074.0
107,moonlight,1,256483385.0
108,bachata,1,1214083358.0
109,s91,1,16011326.0
110,cardigan,1,812019557.0
111,tï,2,322084291.375
112,boy,4,571139885.0
113,liar,2,156338624.0
114,pt,4,512690330.2
115,left,1,720434240.0
116,right,4,768216703.4
117,jung,1,720434240.0
118,kook,1,720434240.0
119,bts,9,233565549.0
120,beso,1,333704849.5
121,hey,2,426177932.3333333
122,mor,1,465064987.0
123,yellow,1,1755214421.0
124,karma,2,225352804.0
125,people,2,234507991.0
126,overdrive,1,14780425.0
127,enchanted,2,330619583.5
128,taylor,6,156803062.2222222
129,hello,1,54266102.0
130,heat,1,1929887832.0
131,waves,1,2557975762.0
132,golden,2,779075195.0
133,hour,1,724610333.5
134,sweater,1,2282771485.0
135,weather,1,2282771485.0
136,quevedo,1,1356565093.0
137,52,1,1356565093.0
138,viva,1,1592909789.0
139,vida,1,717551141.6666666
140,unholy,1,1230675890.0
141,kim,1,1230675890.0
142,petras,1,1230675890.0
143,yandel,1,585695368.0
144,150,1,585695368.0
145,corazï,1,43857627.0
146,½n,2,246806443.33333334
147,va,2,328028390.35294116
148,riptide,1,2009094673.0
149,em,3,504806938.55172414
150,beihold,2,600976848.0
151,novidade,1,39709092.0
152,na,1,574129198.5348837
153,december,1,39228929.0
154,stay,4,669271383.2
155,justin,3,964626432.0
156,bieber,2,1385203088.0
157,merengue,1,223633238.0
158,loved,3,1106723851.0
159,porto,1,1440757818.0
160,bonito,1,1440757818.0
161,makeba,1,165484133.0
162,montagem,1,58054811.0
163,fr,1,283309857.94736844
164,punk,1,58054811.0
165,fast,1,157058870.0
166,car,2,253028797.5
167,solo,3,227533987.33333334
168,coco,2,326768403.0
169,chanel,2,205883119.0
170,donï,3,260454336.33333334
171,½t,4,266386462.25
172,bl,1,533457193.7826087
173,life,4,233421805.0
174,cole,2,166035140.0
175,say,4,716829229.0
176,yes,1,202373308.25
177,heaven,3,584500774.6666666
178,snooze,1,399686758.0
179,summertime,2,636933067.0
180,sadness,1,983637508.0
181,lover,1,674531583.0
182,nights,2,871240807.0
183,toliver,4,130021830.0
184,future,6,235958594.33333334
185,chemical,1,172825906.0
186,mockingbird,1,1241559043.0
187,new,2,245500005.5
188,jeans,1,29562220.0
189,primera,1,77309611.0
190,cita,1,77309611.0
191,cold,1,1605224506.0
192,heart,4,562184656.5714285
193,pnau,1,1605224506.0
194,dandelions,1,1116995633.0
195,bones,1,838079900.0
196,set,2,360954645.5
197,rain,3,713338701.5
198,money,4,633262314.5
199,trees,1,1093605526.0
200,tak,2,712565813.3333334
201,segampang,1,179659294.0
202,itu,1,179659294.0
203,lagunas,1,39058561.0
204,everybody,1,1205951614.0
205,wants,1,1205951614.0
206,rule,1,1205951614.0
207,role,1,1791000570.0
208,modelz,1,1791000570.0
209,tattoo,1,201660859.0
210,rara,1,248088961.0
211,vez,1,159079353.0
212,vagabundo,1,90839753.0
213,august,1,607123776.0
214,luna,1,55842345.0
215,miracle,1,211050784.0
216,ellie,1,211050784.0
217,goulding,1,211050784.0
218,nonsense,1,342897938.0
219,que,5,213496632.23076922
220,vuelvas,1,2762.0
221,por,2,495886784.0
222,las,3,393633546.9
223,noches,1,330346424.0
224,feliz,2,560949182.5
225,cumpleaï,1,601863821.0
226,½os,1,601863821.0
227,fe,1,411992913.6625
228,hold,3,958313724.6
229,ray,1,1011820400.5
230,dalton,1,1953533826.0
231,watermelon,1,2322580122.0
232,sugar,2,1215111465.5
233,lovely,1,2355719893.0
234,bonus,1,2355719893.0
235,track,1,1239393129.0
236,rauw,1,66902503.0
237,alejandro,1,66902503.0
238,56,1,66902503.0
239,queencard,1,96273746.0
240,omg,1,430977451.0
241,radio,4,838541267.0
242,shakira,1,721975598.0
243,53,1,721975598.0
244,505,1,1217120710.0
245,calling,3,232081358.66666666
246,metro,7,67128260.57142857
247,boomin,7,67128260.57142857
248,swae,2,98024882.0
249,lee,2,92489717.66666667
250,nav,1,314655338.0
251,boogie,1,109276132.0
252,wit,1,497688439.9166667
253,da,3,692018209.8478261
254,hoodie,1,109276132.0
255,trance,1,276259178.0
256,travis,6,253888500.66666666
257,scott,6,253888500.66666666
258,young,5,285814115.8
259,thug,4,317056309.5
260,tere,1,770691753.0
261,vaaste,1,54225632.0
262,zara,4,59379336.0
263,hatke,2,59379336.0
264,bachke,2,59379336.0
265,perfect,1,2559529074.0
266,romantic,1,681583126.0
267,homicide,1,681583126.0
268,believer,1,2594040133.0
269,novo,1,81102253.0
270,balanï,1,81102253.0
271,gol,2,523369010.3333333
272,bolinha,1,11956641.0
273,quadrado,1,11956641.0
274,quema,1,11599388.0
275,stargirl,1,611700552.0
276,interlude,3,230000738.33333334
277,ojitos,1,1133865788.0
278,lindos,1,1133865788.0
279,know,8,837954487.125
280,eyes,3,227308564.33333334
281,gordo,1,255932395.0
282,trae,1,255932395.0
283,mando,1,255932395.0
284,mi,3,407420028.59090906
285,bello,1,31873544.0
286,angel,4,236458724.0
287,bye,3,154845728.66666666
288,danza,1,1279434863.0
289,kuduro,1,1279434863.0
290,nosso,1,233801632.0
291,quadro,1,233801632.0
292,locked,1,1481349984.0
293,finde,1,142095275.0
294,crossover,1,142095275.0
295,jimmy,1,618885532.0
296,cooks,1,618885532.0
297,21,3,601810710.5
298,savage,3,469628378.6666667
299,counting,1,2011464183.0
300,stars,2,1196831901.0
301,influence,1,929964809.0
302,prc,1,436027885.0
303,gasolina,1,657723613.0
304,save,2,1406518633.5
305,tears,2,1006690174.0
306,sure,1,609332504.5
307,thing,2,651701317.2
308,breath,3,718876291.3333334
309,remastered,9,850299099.7777778
310,2003,1,1593270737.0
311,met,1,438333047.4166667
312,let,9,865407205.1428572
313,slowly,1,1374581173.0
314,dreaming,1,140944784.0
315,ap,1,791691114.6521739
316,rocky,1,94186466.0
317,roisee,1,94186466.0
318,demons,1,1840364617.0
319,ýýýýýýýýýýýý,1,273335612.5
320,reminder,1,684675814.0
321,shake,1,1113838873.0
322,high,1,1267333350.0
323,snap,2,718837031.5
324,shape,1,3562543890.0
325,changes,1,1131090940.0
326,fin,1,388263346.0
327,semana,2,223281978.0
328,creep,1,1057625376.5
329,outside,1,179625124.5
330,apocalypse,1,841749534.0
331,cheques,1,47956378.0
332,pink,2,478204536.3333333
333,white,2,600994233.0
334,circles,1,2132335812.0
335,just,3,1199428586.8333333
336,way,4,452595957.3333333
337,church,2,1097024688.5
338,dame,1,367316268.0
339,belong,1,350381515.0
340,ve,6,590761138.8198198
341,titi,1,843896143.3333334
342,preguntï,1,1264310836.0
343,better,2,225691911.5
344,revenge,2,526300718.0
345,shut,3,356381061.3333333
346,moms,2,293483972.0
347,seen,1,1145727611.0
348,es,1,418379079.63736266
349,secreto,1,540654286.0
350,polaris,1,57312735.0
351,ditto,1,397582059.0
352,annihilate,1,86773632.0
353,lil,6,82733992.85714285
354,wayne,2,89214829.0
355,offset,2,55874642.5
356,jimin,2,143302011.0
357,jvke,1,133753727.0
358,muni,1,133753727.0
359,long,1,242067621.0
360,acrï,1,123124076.0
361,amg,1,463564958.0
362,phir,1,64533040.0
363,aur,1,199633306.0
364,kya,1,64533040.0
365,chahiye,1,64533040.0
366,class,2,365081192.6666667
367,hits,1,68616963.0
368,different,1,68616963.0
369,self,1,1100932223.25
370,coi,1,70106975.0
371,leray,1,70106975.0
372,area,1,113509496.0
373,codes,1,113509496.0
374,abcdario,1,89933133.0
375,obsessed,1,71007139.0
376,piï,1,43522589.0
377,½man,1,43522589.0
378,deï,1,43522589.0
379,flower,2,935657407.6
380,live,1,139189077.14285713
381,uzi,1,37126685.0
382,vert,1,37126685.0
383,closed,1,195576623.0
384,escapism,2,358322553.0
385,jumpa,1,538115192.0
386,ice,1,498537352.4
387,spice,1,46142772.0
388,superhero,1,401036314.0
389,heroes,1,401036314.0
390,villains,1,401036314.0
391,chris,1,504635228.8333333
392,brown,1,401036314.0
393,morras,1,127026613.0
394,chorrito,1,345031710.0
395,pa,1,493510784.03125
396,animas,1,345031710.0
397,ch,1,405138208.6923077
398,pizza,1,288101651.0
399,snow,8,398706185.6
400,beach,2,191893866.0
401,lana,2,191893866.0
402,rey,2,191893866.0
403,players,1,335074782.0
404,bite,1,76767396.0
405,stand,1,46065667.0
406,morgan,1,46065667.0
407,wallen,1,46065667.0
408,normal,1,459276435.0
409,hummingbird,1,39666245.0
410,james,1,39666245.0
411,blake,2,110121861.5
412,seu,1,138517666.0
413,brilho,1,138517666.0
414,sumiu,1,138517666.0
415,ao,6,202534349.66666666
416,vivo,6,202534349.66666666
417,bad,5,627874516.0
418,habit,1,1189072511.0
419,cuff,1,595900742.0
420,lilith,1,51985779.0
421,suga,3,588138919.0
422,diablo,1,51985779.0
423,iv,1,399454894.9354839
424,anthem,2,192246066.5
425,69,1,57945987.0
426,niï,1,115010040.0
427,½a,4,190963544.4
428,bo,1,488469136.04545456
429,search,1,175097833.0
430,rescue,1,175097833.0
431,america,1,57089066.0
432,problem,2,116069434.0
433,kendrick,2,308655908.0
434,lamar,2,308655908.0
435,lavender,1,488386797.0
436,haze,1,488386797.0
437,link,1,32761689.0
438,wizkid,1,32761689.0
439,beam,1,32761689.0
440,toian,1,32761689.0
441,efecto,1,1047480053.0
442,erro,1,153454328.0
443,gostoso,1,153454328.0
444,cupido,1,217672943.0
445,rock,3,447462787.6666667
446,unstoppable,1,939844851.0
447,rich,4,216444620.75
448,flex,1,573633020.0
449,easy,1,1406111294.0
450,cartï,1,71573339.0
451,½o,3,818598604.75
452,danger,1,24975653.0
453,jid,2,624228401.0
454,oi,1,105188716.14285715
455,balde,1,145458418.0
456,real,1,782509953.5
457,slim,1,1424589568.0
458,shady,1,1424589568.0
459,mercho,1,231332117.0
460,color,1,319171704.0
461,violet,1,415932686.0
462,glimpse,1,988515741.0
463,mejor,1,50847624.0
464,yo,3,791438330.5538461
465,curtains,1,39893489.0
466,unforgiven,1,92035115.0
467,nile,1,92035115.0
468,rodgers,1,92035115.0
469,haegeum,1,118810253.0
470,conexï,1,77233241.0
471,½es,1,77233241.0
472,mï,3,274606449.5
473,½fia,1,77233241.0
474,mientras,1,206399629.0
475,curo,1,206399629.0
476,cora,1,125128628.0
477,felt,1,117747907.0
478,si,4,355402753.3035714
479,volvemos,1,266624541.0
480,ceilings,1,293186992.0
481,spe,1,316351274.28571427
482,shorty,1,162887075.0
483,party,2,388721078.5
484,slut,1,190490915.0
485,double,1,96180277.0
486,fantasy,1,96180277.0
487,girls,1,185240616.0
488,provenza,1,885093467.0
489,princess,1,104992946.0
490,diana,1,104992946.0
491,nicki,2,170966713.0
492,minaj,1,104992946.0
493,di,2,514712072.5365854
494,shivers,1,1302184087.0
495,igualito,1,158950978.0
496,apï,1,158950978.0
497,shoong,1,76910644.0
498,lisa,1,76910644.0
499,blackpink,1,76910644.0
500,komang,1,137123880.0
501,despechï,1,782369383.0
